team_id,category_id,category_rank,team_total_time,team_total_seconds,team_name,team_avg_time,team_avg_seconds
304,14,69,8:05:05,29105,Zepp Health,1:00:39,3639
305,14,70,8:05:58,29158,Sony Pictures Imageworks,1:00:45,3645
306,14,71,8:10:14,29414,CURRENT SCIENTIFIC,1:01:17,3677
307,14,72,8:13:32,29612,Lord of the Runs,1:01:42,3702
308,14,73,8:16:33,29793,PARALLEL DOMAIN,1:02:05,3725
309,14,74,8:19:47,29987,Policy Reporter,1:02:29,3749
310,14,75,8:22:45,30165,Celestial Systems,1:02:51,3771
311,14,76,8:23:59,30239,RedMane Canada,1:03:00,3780
312,14,77,8:25:55,30355,CGI SunRunners,1:03:15,3795
313,14,78,8:29:32,30572,Transoft Solutions,1:03:42,3822
314,14,79,8:30:53,30653,Rx Networks,1:03:52,3832
315,14,80,8:34:54,30894,Xplor 404: Pace Not Found,1:04:22,3862
316,14,81,8:39:23,31163,OPTIMIL MACHINERY,1:04:56,3896
317,14,82,8:45:57,31557,MetaOptima Technology Inc.,1:05:45,3945
318,14,83,8:47:07,31627,NUMERIX,1:05:54,3954
319,14,84,8:56:50,32210,Synthetic Aperture Runners,1:07:07,4027
320,14,85,8:58:16,32296,NETINT,1:07:17,4037
321,14,86,8:59:35,32375,Cascadia Scientific,1:07:27,4047
322,14,87,9:04:45,32685,PokerLab,1:08:06,4086
323,14,88,9:12:36,33156,EmerCom Technology,1:09:05,4145
324,14,89,9:13:58,33238,DMSI,1:09:15,4155
325,14,90,9:14:11,33251,Moment Energy,1:09:17,4157
326,14,91,9:30:08,34208,Avocette Avengers,1:11:16,4276
327,14,92,9:37:12,34632,Elastic,1:12:09,4329
328,14,93,9:53:22,35602,Team WISI,1:14:11,4451
329,14,94,10:10:48,36648,Operto Runners,1:16:21,4581
330,14,95,10:37:07,38227,The Hansen Steel Benders,1:19:39,4779
331,14,96,11:31:38,41498,Tyler Technologies,1:26:28,5188
332,16,5,8:52:55,31975,Flyover Vancouver,1:06:37,3997
333,16,6,9:01:04,32464,FIND + SEEK,1:07:38,4058
334,16,7,9:04:37,32677,PARQ CASINO,1:08:05,4085
335,16,8,9:27:57,34077,Team MET,1:11:00,4260
336,16,9,10:32:56,37976,TEAM LEVY,1:19:07,4747
337,17,28,8:11:45,29505,MLT Aikins LLP,1:01:29,3689
338,17,29,8:12:13,29533,DWF Canada,1:01:32,3692
339,17,30,8:46:09,31569,Taylor Nakai Litigation,1:05:47,3947
340,17,31,8:51:50,31910,Morton Law,1:06:29,3989
341,17,32,8:53:58,32038,Henderson & Lee Law Corporation,1:06:45,4005
342,17,33,9:21:44,33704,Singleton Striders,1:10:13,4213
343,17,34,9:35:30,34530,Dolden,1:11:57,4317
344,17,35,9:43:21,35001,RICHARDS BUELL SUTTON LLP 2026,1:12:56,4376
345,17,36,9:44:10,35050,Allen / McMillan Litigation Counsel,1:13:02,4382
346,17,37,9:53:26,35606,Oyen Wiggs,1:14:11,4451
347,17,38,10:03:44,36224,Harris Ampersands,1:15:28,4528
348,17,39,10:31:00,37860,Eyford Wildcats,1:18:53,4733
349,17,40,10:36:15,38175,TEAM FULTON 2026,1:19:32,4772
350,17,41,10:43:40,38620,Allrise Immigration,1:20:28,4828
351,17,42,10:47:45,38865,Koffman Kalef Business Lawyers,1:20:59,4859
352,17,43,10:53:21,39201,Spraggs,1:21:41,4901
353,17,44,11:04:24,39864,KSW Lawyers,1:23:03,4983
354,17,45,11:07:16,40036,COTE & EVANS TRIAL LAWYERS,1:23:25,5005
355,17,46,11:32:01,41521,Taylor Janis LLP,1:26:31,5191
356,17,47,11:41:15,42075,GLGZ LLP,1:27:40,5260
357,17,48,12:20:54,44454,Surrey Defence,1:32:37,5557
358,17,49,12:59:25,46765,NORTHPOINT LEGAL LLP,1:37:26,5846
359,17,50,16:25:14,59114,Legal Runners,2:03:10,7390
360,18,20,8:00:18,28818,VACFSS,1:00:03,3603
361,18,21,8:03:54,29034,BRIDGE,1:00:30,3630
362,18,22,8:08:11,29291,Waterbaby,1:01:02,3662
363,18,23,8:15:04,29704,Best Buddies UBC runners,1:01:53,3713
364,18,24,8:16:39,29799,Team VATA - 10K Open,1:02:05,3725
365,18,25,8:23:45,30225,Stanley Park Ecology Sun Run Team,1:02:59,3779
366,18,26,8:24:08,30248,Xidian Alumni 2026,1:03:01,3781
367,18,27,8:27:09,30429,City Dream Centre Team,1:03:24,3804
368,18,28,8:36:46,31006,CCPC,1:04:36,3876
369,18,29,8:40:57,31257,BCIHS,1:05:08,3908
370,18,30,8:41:20,31280,Mom2Mom,1:05:10,3910
371,18,31,8:41:40,31300,Nepali Canadian Women's Society of BC,1:05:13,3913
372,18,32,8:41:41,31301,Cameray Child and Family Services,1:05:13,3913
373,18,33,8:42:06,31326,The Running on Faith Project +Wagner Hills,1:05:16,3916
374,18,34,8:57:59,32279,The Kettle Society,1:07:15,4035
375,18,35,8:58:44,32324,CANAREA,1:07:21,4041
376,18,36,9:05:07,32707,CLS SUN RUNNERS,1:08:09,4089
377,18,37,9:05:46,32746,InspireHealth Supportive Cancer Care,1:08:14,4094
378,18,38,9:06:28,32788,RONIN SHARMA FOUNDATION,1:08:19,4099
379,18,39,9:09:36,32976,Hungry Caterpillar,1:08:42,4122
380,18,40,9:11:56,33116,UNYAN's,1:09:00,4140
381,18,41,9:17:41,33461,David Suzuki 90!,1:09:43,4183
382,18,42,9:18:46,33526,Brightside,1:09:51,4191
383,18,43,9:23:23,33803,Menno Place Movers,1:10:26,4226
384,18,44,9:24:11,33851,ISPARC Indigenous RunWalkWheel,1:10:32,4232
385,18,45,9:25:36,33936,YP Vancouver,1:10:42,4242
386,18,46,9:29:33,34173,Tri'ing to End ALS,1:11:12,4272
387,18,47,9:31:10,34270,RCFHA,1:11:24,4284
388,18,48,9:40:01,34801,Running from the Law,1:12:31,4351
389,18,49,9:40:42,34842,One La Salle Vancouver,1:12:36,4356
390,18,50,9:45:12,35112,Saviour of the Nations,1:13:09,4389
391,18,51,9:46:07,35167,HispanoMine,1:13:16,4396
392,18,52,9:49:54,35394,FAFAMEM FOUNDATION,1:13:45,4425
393,18,53,9:51:34,35494,Kidney Foundation - BC/Y,1:13:57,4437
394,18,54,9:57:01,35821,Vancouver Desis,1:14:38,4478
395,18,55,9:58:14,35894,Amazing Grace,1:14:47,4487
396,18,56,9:58:52,35932,CPHR BC & Yukon,1:14:52,4492
397,18,57,10:19:18,37158,BC Nurses' Union,1:17:25,4645
398,18,58,10:25:51,37551,Team Taiwan Club,1:18:14,4694
399,18,59,10:31:44,37904,Run Hit Wander,1:18:58,4738
400,18,60,10:32:18,37938,Team Carnegie,1:19:03,4743
401,18,61,10:39:39,38379,The Nature Trust of British Columbia,1:19:58,4798
402,18,62,10:46:35,38795,Mordy's Fan Club,1:20:50,4850
403,18,63,11:16:48,40608,ARCHWAY,1:24:36,5076
404,18,64,11:19:16,40756,Aspire Richmond,1:24:55,5095
405,18,65,11:20:09,40809,ECHO Sunners '26,1:25:02,5102
